quarter,level_1,level_2,level_3,value
2013-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,30.5
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16562.2
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6144.2
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1936.1
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3720.6
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,10517.6
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,14007
2013-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,9269.6
2013-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16882.4
2013-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4367
2013-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1358.8
2013-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,34
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16432
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6114.8
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,1976.2
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3601.4
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,10299.6
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,13936.4
2013-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,9732.6
2013-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,17081.6
2013-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4598.8
2013-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1308.1
2013-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,32.5
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,16635.1
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6677.2
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2002.3
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3706.3
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,11091.3
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,14493.3
2013-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10609.3
2014-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,16792.2
2014-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4757.5
2014-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1253
2014-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,34.4
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14923
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6331.4
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2064.4
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3786
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,10963.2
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,14410
2014-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,11355.6
2014-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,17473.1
2014-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4691.3
2014-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1398
2014-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,36.1
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,15175.9
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6525.8
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2031.8
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3914.8
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,11011.5
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,14410.1
2014-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,9738.7
2014-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,17839.8
2014-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4914.6
2014-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1411.6
2014-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,40.1
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14656.8
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,6728.7
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2069
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3883.6
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,11274.1
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,14220.5
2014-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10187.4
2014-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,17468.5
2014-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4977.7
2014-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1436.4
2014-Q4,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,36
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,15230.1
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,7489.4
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2084
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3953.8
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,12525.1
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,15159.2
2014-Q4,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,11314.9
2015-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,18080.5
2015-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4922.6
2015-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1398.9
2015-Q1,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,35.1
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,13898.6
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,7386.9
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2097.4
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3820
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,12092.8
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,15318.5
2015-Q1,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,12069.1
2015-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,18961.7
2015-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4904.7
2015-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1438.1
2015-Q2,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,36
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14424.5
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,7323
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Accommodation & Food Services,2032.4
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Information & Communications,3970.3
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Finance & Insurance,12184.3
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Business Services,15014.5
2015-Q2,Gross Domestic Product At Current Market Prices,Services Producing Industries,Other Services Industries,10218.5
2015-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Manufacturing,18985.9
2015-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Construction,4993.2
2015-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Utilities,1414.6
2015-Q3,Gross Domestic Product At Current Market Prices,Goods Producing Industries,Other Goods Industries,37.8
2015-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Wholesale & Retail Trade,14290
2015-Q3,Gross Domestic Product At Current Market Prices,Services Producing Industries,Transportation & Storage,7304.2
